+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|video_pixel_buffer_dma_0_avalon_control_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                 ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_control_slave_translator_avalon_universal_slave_0_agent|uncompressor               ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_control_slave_translator_avalon_universal_slave_0_agent                            ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                  ; 135   ; 39             ; 0            ; 39             ; 94     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent|uncompressor                              ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent                                           ; 241   ; 22             ; 32           ; 22             ; 263    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                 ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                   ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                               ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                            ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|leds_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                       ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|leds_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                         ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|leds_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                     ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|leds_s1_translator_avalon_universal_slave_0_agent                                                                  ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|switches_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                   ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|switches_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                     ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|switches_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                 ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|switches_s1_translator_avalon_universal_slave_0_agent                                                              ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                      ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                        ; 135   ; 39             ; 0            ; 39             ; 94     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                    ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent                                                                 ; 241   ; 22             ; 32           ; 22             ; 263    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                           ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                             ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                                         ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent                                                      ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rdata_fifo                                ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                  ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                              ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                           ; 309   ; 39             ; 48           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_pixel_dma_master_translator_avalon_universal_master_0_agent                        ; 163   ; 37             ; 84           ; 37             ; 111    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_data_master_translator_avalon_universal_master_0_agent                                                ; 200   ; 37             ; 89           ; 37             ; 145    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_instruction_master_translator_avalon_universal_master_0_agent                                         ; 200   ; 37             ; 89           ; 37             ; 145    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pushbutton_s1_translator                                                                                           ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_buffer_slave_translator                                              ; 63    ; 6              ; 19           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_control_slave_translator                                             ; 116   ; 7              ; 31           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_control_slave_translator                                                           ; 116   ; 7              ; 30           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator                                                                          ; 81    ; 6              ; 14           ; 6              ; 56     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator                                                                           ; 116   ; 6              ; 34           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|leds_s1_translator                                                                                                 ; 116   ; 7              ; 33           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|switches_s1_translator                                                                                             ; 116   ; 7              ; 33           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator                                                                                                ; 81    ; 5              ; 10           ; 5              ; 61     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator                                                                                     ; 116   ; 8              ; 22           ; 8              ; 83     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator                                                                          ; 116   ; 6              ; 23           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0_avalon_pixel_dma_master_translator                                                        ; 83    ; 32             ; 2            ; 32             ; 74     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_data_master_translator                                                                                ; 110   ; 20             ; 2            ; 20             ; 109    ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_instruction_master_translator                                                                         ; 110   ; 59             ; 2            ; 59             ; 109    ; 59              ; 59            ; 59              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pushbutton                                                                                                         ; 8     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_alpha_blender_0|alpha_blender                                                                                ; 70    ; 0              ; 9            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_alpha_blender_0                                                                                              ; 79    ; 0              ; 2            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Character_Rom|character_data_rom|auto_generated|mux2                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Character_Rom|character_data_rom|auto_generated                                  ; 15    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Character_Rom                                                                    ; 15    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated|mux5                                           ; 17    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated|mux4                                           ; 17    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated|decode_a                                       ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated|decode3                                        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated|decode2                                        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0|Char_Buffer_Memory|auto_generated                                                ; 47    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0                                                                                  ; 68    ; 1              ; 1            ; 1              ; 84     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_vga_controller_0|VGA_Timing                                                                                  ; 36    ; 0              ; 1            ; 0              ; 47     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_vga_controller_0                                                                                             ; 35    ; 0              ; 1            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp_msb_mux                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp_lsb_mux                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdemp_eq_comp_msb_mux                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdemp_eq_comp_lsb_mux                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp_msb                                              ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp_lsb                                              ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp1_msb                                             ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrfull_eq_comp1_lsb                                             ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdempty_eq_comp_msb                                             ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdempty_eq_comp_lsb                                             ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdempty_eq_comp1_msb                                            ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdempty_eq_comp1_lsb                                            ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|ws_dgrp|dffpipe20                                               ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|ws_dgrp                                                         ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|ws_bwp                                                          ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|ws_brp                                                          ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rs_dgwp|dffpipe16                                               ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rs_dgwp                                                         ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdaclr                                                          ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|fifo_ram                                                        ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrptr_gp                                                        ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrptr_g1p                                                       ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|rdptr_g1p                                                       ; 3     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|ws_dgrp_gray2bin                                                ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated|wrptr_g_gray2bin                                                ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0|Data_FIFO|auto_generated                                                                 ; 36    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_dual_clock_buffer_0                                                                                          ; 38    ; 0              ; 2            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Width                                                                                      ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|wr_ptr                                   ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|usedw_counter                            ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|rd_ptr_msb                               ; 3     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|three_comparison                         ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|almost_full_comparer                     ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo|FIFOram                                  ; 52    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated|dpfifo                                          ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height|Multiply_Height_FIFO|auto_generated                                                 ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0|Multiply_Height                                                                                     ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_scaler_0                                                                                                     ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_rgb_resampler_0                                                                                              ; 22    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|wr_ptr                                                 ; 3     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|usedw_counter                                          ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|rd_ptr_msb                                             ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|three_comparison                                       ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|almost_full_comparer                                   ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo|FIFOram                                                ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated|dpfifo                                                        ; 22    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0|Image_Buffer|auto_generated                                                               ; 22    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_pixel_buffer_dma_0                                                                                           ; 61    ; 0              ; 0            ; 0              ; 85     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer                                                                                                       ; 40    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|clocks                                                                                                             ; 2     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram|the_nios_system_sdram_input_efifo_module                                                                     ; 45    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram                                                                                                              ; 45    ; 1              ; 1            ; 1              ; 39     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                   ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                               ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                            ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
